Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress1,L2,suffix,235_415,F8,stressed,mismatch,-2.731326
stress1,L2,suffix,235_415,F8,stressed,match,2.44435
stress1,L2,suffix,235_415,F8,unstressed,mismatch,-1.887657
stress1,L2,suffix,235_415,F8,unstressed,match,0.743624
stress1,L2,suffix,235_415,Fp2,stressed,mismatch,4.540353
stress1,L2,suffix,235_415,Fp2,stressed,match,-2.196434
stress1,L2,suffix,235_415,Fp2,unstressed,mismatch,2.296773
stress1,L2,suffix,235_415,Fp2,unstressed,match,-0.56293
stress1,L2,suffix,235_415,Audio,stressed,mismatch,-666.647827
stress1,L2,suffix,235_415,Audio,stressed,match,-700.197693
stress1,L2,suffix,235_415,Audio,unstressed,mismatch,-2149.162109
stress1,L2,suffix,235_415,Audio,unstressed,match,-2062.962158
stress1,L2,suffix,235_415,Fz,stressed,mismatch,3.725737
stress1,L2,suffix,235_415,Fz,stressed,match,-1.018197
stress1,L2,suffix,235_415,Fz,unstressed,mismatch,1.022552
stress1,L2,suffix,235_415,Fz,unstressed,match,0.041381
stress10,L2,suffix,235_415,Fp1,stressed,mismatch,-9.107365
stress10,L2,suffix,235_415,Fp1,stressed,match,3.754821
stress10,L2,suffix,235_415,Fp1,unstressed,mismatch,2.825239
stress10,L2,suffix,235_415,Fp1,unstressed,match,-10.07273
stress10,L2,suffix,235_415,F3,stressed,mismatch,-4.421986
stress10,L2,suffix,235_415,F3,stressed,match,-1.46479
stress10,L2,suffix,235_415,F3,unstressed,mismatch,-4.325788
stress10,L2,suffix,235_415,F3,unstressed,match,-9.921936
stress10,L2,suffix,235_415,F7,stressed,mismatch,-0.155805
stress10,L2,suffix,235_415,F7,stressed,match,-1.397064
stress10,L2,suffix,235_415,F7,unstressed,mismatch,-15.235368
stress10,L2,suffix,235_415,F7,unstressed,match,-14.487354
stress10,L2,suffix,235_415,FT9,stressed,mismatch,2.327479
stress10,L2,suffix,235_415,FT9,stressed,match,-1.143501
stress10,L2,suffix,235_415,FT9,unstressed,mismatch,-11.191446
stress10,L2,suffix,235_415,FT9,unstressed,match,-5.659394
stress10,L2,suffix,235_415,FC5,stressed,mismatch,-1.541897
stress10,L2,suffix,235_415,FC5,stressed,match,-1.327878
stress10,L2,suffix,235_415,FC5,unstressed,mismatch,-8.957507
stress10,L2,suffix,235_415,FC5,unstressed,match,-10.292788
stress10,L2,suffix,235_415,FC1,stressed,mismatch,-3.72342
stress10,L2,suffix,235_415,FC1,stressed,match,-2.095692
stress10,L2,suffix,235_415,FC1,unstressed,mismatch,-2.413288
stress10,L2,suffix,235_415,FC1,unstressed,match,-8.008381
stress10,L2,suffix,235_415,C3,stressed,mismatch,-1.208329
stress10,L2,suffix,235_415,C3,stressed,match,-0.3127
stress10,L2,suffix,235_415,C3,unstressed,mismatch,-5.308406
stress10,L2,suffix,235_415,C3,unstressed,match,-6.770819
stress10,L2,suffix,235_415,T7,stressed,mismatch,0.044053
stress10,L2,suffix,235_415,T7,stressed,match,-0.079224
stress10,L2,suffix,235_415,T7,unstressed,mismatch,-7.831945
stress10,L2,suffix,235_415,T7,unstressed,match,-6.139686
stress10,L2,suffix,235_415,TP9,stressed,mismatch,9.811121
stress10,L2,suffix,235_415,TP9,stressed,match,2.872128
stress10,L2,suffix,235_415,TP9,unstressed,mismatch,-3.933884
stress10,L2,suffix,235_415,TP9,unstressed,match,5.090059
stress10,L2,suffix,235_415,CP5,stressed,mismatch,1.373549
stress10,L2,suffix,235_415,CP5,stressed,match,0.878041
stress10,L2,suffix,235_415,CP5,unstressed,mismatch,-5.361505
stress10,L2,suffix,235_415,CP5,unstressed,match,-3.521453
stress10,L2,suffix,235_415,CP1,stressed,mismatch,-0.872522
stress10,L2,suffix,235_415,CP1,stressed,match,0.337169
stress10,L2,suffix,235_415,CP1,unstressed,mismatch,-4.415856
stress10,L2,suffix,235_415,CP1,unstressed,match,-4.174006
stress10,L2,suffix,235_415,Pz,stressed,mismatch,1.475155
stress10,L2,suffix,235_415,Pz,stressed,match,0.455668
stress10,L2,suffix,235_415,Pz,unstressed,mismatch,-2.651157
stress10,L2,suffix,235_415,Pz,unstressed,match,-0.041707
stress10,L2,suffix,235_415,P3,stressed,mismatch,2.337386
stress10,L2,suffix,235_415,P3,stressed,match,1.703898
stress10,L2,suffix,235_415,P3,unstressed,mismatch,-2.611056
stress10,L2,suffix,235_415,P3,unstressed,match,-1.556911
stress10,L2,suffix,235_415,P7,stressed,mismatch,4.312897
